trips,precipitation,snow_depth,snowfall,max_temperature,min_temperature,average_wind_speed,year,season,month,holiday,stations_in_service,weekday,weekday_non_holiday
20138,0.649606,0,0,75.92,66.02,2.90802,2013,summer,8,FALSE,329,TRUE,TRUE
35792,0,0,0,82.94,66.92,4.47387,2013,summer,8,FALSE,329,TRUE,TRUE
29540,0.0590551,0,0,78.08,68,3.3554,2013,summer,8,FALSE,329,FALSE,FALSE
35253,0,0,0,80.06,66.02,5.14495,2013,summer,8,FALSE,329,FALSE,FALSE
36776,0,0,0,78.08,62.06,3.3554,2013,summer,8,FALSE,329,TRUE,TRUE
37702,0,0,0,82.04,64.04,2.68432,2013,summer,8,FALSE,329,TRUE,TRUE
34396,0,0,0,80.06,69.98,5.14495,2013,summer,8,FALSE,329,TRUE,TRUE
28366,0.46063,0,0,80.96,69.98,4.47387,2013,summer,8,FALSE,329,TRUE,TRUE
29017,0.0511811,0,0,84.92,73.94,4.25018,2013,summer,8,FALSE,329,TRUE,TRUE
37201,0,0,0,82.94,69.98,4.92126,2013,summer,8,FALSE,329,FALSE,FALSE
33060,0,0,0,80.96,64.94,2.46063,2013,summer,8,FALSE,329,FALSE,FALSE
31457,0.0511811,0,0,82.04,69.98,2.01324,2013,summer,8,FALSE,329,TRUE,TRUE
22437,0.850394,0,0,77,68,2.68432,2013,summer,8,FALSE,329,TRUE,TRUE
38150,0,0,0,73.94,60.98,6.48712,2013,summer,8,FALSE,329,TRUE,TRUE
37386,0,0,0,78.08,59,3.5791,2013,summer,8,FALSE,329,TRUE,TRUE
35991,0,0,0,82.04,64.04,2.01324,2013,summer,8,FALSE,329,TRUE,TRUE
37285,0,0,0,84.02,64.04,2.01324,2013,summer,8,FALSE,329,FALSE,FALSE
27612,0,0,0,75.92,68,2.90802,2013,summer,8,FALSE,329,FALSE,FALSE
33127,0,0,0,78.98,66.02,3.3554,2013,summer,8,FALSE,329,TRUE,TRUE
35843,0,0,0,87.98,68,2.90802,2013,summer,8,FALSE,329,TRUE,TRUE
36315,0,0,0,89.96,71.96,2.46063,2013,summer,8,FALSE,329,TRUE,TRUE
26629,0.251969,0,0,78.08,71.06,3.80279,2013,summer,8,FALSE,329,TRUE,TRUE
33503,0,0,0,82.04,71.06,5.59234,2013,summer,8,FALSE,329,TRUE,TRUE
32941,0,0,0,80.06,64.94,4.92126,2013,summer,8,FALSE,329,FALSE,FALSE
31755,0,0,0,82.94,64.04,4.02649,2013,summer,8,FALSE,329,FALSE,FALSE
29979,0.0393701,0,0,84.02,68,5.81603,2013,summer,8,FALSE,329,TRUE,TRUE
34208,0.011811,0,0,87.08,71.06,4.69757,2013,summer,8,FALSE,329,TRUE,TRUE
28185,0.429134,0,0,86,71.06,2.68432,2013,summer,8,FALSE,330,TRUE,TRUE
34215,0,0,0,80.06,71.06,4.92126,2013,summer,8,FALSE,330,TRUE,TRUE
32318,0,0,0,84.92,69.98,4.25018,2013,summer,8,FALSE,330,TRUE,TRUE
25381,0,0,0,86,73.04,4.92126,2013,summer,8,FALSE,330,FALSE,FALSE
25235,0,0,0,84.02,75.02,2.46063,2013,fall,9,FALSE,330,FALSE,FALSE
21416,0.0511811,0,0,82.04,73.94,0.894775,2013,fall,9,TRUE,330,TRUE,FALSE
32411,0.0314961,0,0,82.04,68,2.90802,2013,fall,9,FALSE,330,TRUE,TRUE
36798,0,0,0,82.04,64.94,5.36865,2013,fall,9,FALSE,330,TRUE,TRUE
35825,0,0,0,80.06,64.04,5.59234,2013,fall,9,FALSE,330,TRUE,TRUE
35868,0,0,0,71.96,57.02,3.5791,2013,fall,9,FALSE,330,TRUE,TRUE
34419,0,0,0,80.06,59,3.3554,2013,fall,9,FALSE,330,FALSE,FALSE
33196,0,0,0,82.94,64.04,6.48712,2013,fall,9,FALSE,330,FALSE,FALSE
35394,0,0,0,73.04,57.02,4.25018,2013,fall,9,FALSE,330,TRUE,TRUE
36954,0.011811,0,0,87.08,68,5.81603,2013,fall,9,FALSE,330,TRUE,TRUE
35812,0,0,0,96.08,77,4.47387,2013,fall,9,FALSE,330,TRUE,TRUE
31252,1.59843,0,0,87.08,69.98,4.02649,2013,fall,9,FALSE,330,TRUE,TRUE
36501,0.0590551,0,0,77,59,5.14495,2013,fall,9,FALSE,330,TRUE,TRUE
31607,0,0,0,66.92,53.96,4.69757,2013,fall,9,FALSE,330,FALSE,FALSE
31914,0,0,0,73.04,51.08,3.80279,2013,fall,9,FALSE,330,FALSE,FALSE
31287,0.0314961,0,0,73.04,55.94,4.69757,2013,fall,9,FALSE,330,TRUE,TRUE
38283,0,0,0,64.94,50,4.69757,2013,fall,9,FALSE,330,TRUE,TRUE
37957,0,0,0,71.96,51.08,2.68432,2013,fall,9,FALSE,330,TRUE,TRUE
39200,0,0,0,78.08,55.04,2.46063,2013,fall,9,FALSE,330,TRUE,TRUE
39382,0,0,0,78.98,60.08,3.13171,2013,fall,9,FALSE,330,TRUE,TRUE
31826,0.720472,0,0,77,60.98,4.47387,2013,fall,9,FALSE,330,FALSE,FALSE
29758,0.448819,0,0,69.08,53.96,5.81603,2013,fall,9,FALSE,330,FALSE,FALSE
35152,0,0,0,66.02,50,4.02649,2013,fall,9,FALSE,330,TRUE,TRUE
38417,0,0,0,73.04,46.94,4.02649,2013,fall,9,FALSE,330,TRUE,TRUE
38223,0,0,0,73.04,51.98,1.78955,2013,fall,9,FALSE,330,TRUE,TRUE
38189,0,0,0,71.06,57.92,3.5791,2013,fall,9,FALSE,330,TRUE,TRUE
37412,0,0,0,69.08,57.02,4.69757,2013,fall,9,FALSE,330,TRUE,TRUE
34931,0,0,0,73.04,55.94,4.47387,2013,fall,9,FALSE,330,FALSE,FALSE
32592,0,0,0,71.96,57.02,3.13171,2013,fall,9,FALSE,330,FALSE,FALSE
37148,0,0,0,75.02,55.94,3.3554,2013,fall,9,FALSE,330,TRUE,TRUE
40575,0,0,0,82.04,59,2.01324,2013,fall,10,FALSE,330,TRUE,TRUE
41383,0,0,0,82.94,64.04,4.02649,2013,fall,10,FALSE,330,TRUE,TRUE
40456,0,0,0,78.08,62.96,1.56586,2013,fall,10,FALSE,330,TRUE,TRUE
40195,0,0,0,86,66.02,2.90802,2013,fall,10,FALSE,330,TRUE,TRUE
34181,0,0,0,75.92,64.04,3.5791,2013,fall,10,FALSE,330,FALSE,FALSE
26574,0,0,0,69.98,64.94,5.81603,2013,fall,10,FALSE,330,FALSE,FALSE
25016,0.251969,0,0,75.92,60.08,5.81603,2013,fall,10,FALSE,330,TRUE,TRUE
38365,0,0,0,66.92,53.96,6.03973,2013,fall,10,FALSE,330,TRUE,TRUE
36969,0,0,0,62.06,53.06,8.50036,2013,fall,10,FALSE,330,TRUE,TRUE
31171,0,0,0,64.94,53.96,8.94775,2013,fall,10,FALSE,330,TRUE,TRUE
33357,0.019685,0,0,68,60.08,9.39513,2013,fall,10,FALSE,330,TRUE,TRUE
32457,0,0,0,71.96,60.08,11.1847,2013,fall,10,FALSE,330,FALSE,FALSE
28832,0,0,0,64.94,55.94,8.50036,2013,fall,10,FALSE,330,FALSE,FALSE
33018,0,0,0,66.02,51.98,2.46063,2013,fall,10,FALSE,330,TRUE,TRUE
37534,0,0,0,71.96,53.06,2.90802,2013,fall,10,FALSE,330,TRUE,TRUE
36911,0,0,0,66.92,55.94,3.13171,2013,fall,10,FALSE,330,TRUE,TRUE
