A. David Edwards	Daniel Rueckert
A. P. Sarath Chandar	Amrita Saha
A. P. Sarath Chandar	Balaraman Ravindran
A. P. Sarath Chandar	Hugo Larochelle
A. P. Sarath Chandar	Mitesh M. Khapra
A. P. Sarath Chandar	Stanislas Lauly
A. P. Sarath Chandar	Vikas C. Raykar
A. Taylan Cemgil	Gaël Richard
Aadirupa Saha	Shivani Agarwal 0001
Aaditya Ramdas	Aarti Singh
Aaditya Ramdas	Arthur Gretton
Aaditya Ramdas	Dino Sejdinovic
Aaditya Ramdas	Javier Peña
Aapo Hyvärinen	Hiroshi Morioka
Aapo Kyrola	Carlos Guestrin
Aapo Kyrola	Danny Bickson
Aaron C. Courville	James Bergstra
Aaron C. Courville	Richard S. Zemel
Aaron C. Courville	Ruslan Salakhutdinov
Aaron C. Courville	Yoshua Bengio
Aaron Defazio	Francis R. Bach
Aaron Defazio	Justin Domke
Aaron Defazio	Simon Lacoste-Julien
Aaron Defazio	Tibério S. Caetano
Aaron Klein	Frank Hutter
Aaron Klein	Jost Tobias Springenberg
Aaron Klein	Katharina Eggensperger
Aaron Klein	Manuel Blum 0002
Aaron Klein	Stefan Falkner
Aaron Roth	Jonathan Ullman
Aaron Roth	Steven Z. Wu
Aaron Roth	Zhiwei Steven Wu
Aaron Schein	David M. Blei
Aaron Schein	Hanna M. Wallach
Aaron Schein	Mingyuan Zhou
Aaron W. Dennis	Dan Ventura
Aaron Wilson	Alan Fern
Aaron Wilson	Prasad Tadepalli
Aarti Singh	Larry A. Wasserman
Aarti Singh	Yevgeniy Vorobeychik
Aasa Feragen	Jens Petersen
Aasa Feragen	Karsten M. Borgwardt
Aasa Feragen	Marleen de Bruijne
Aasa Feragen	Niklas Kasenburg
Abbas Abdolmaleki	Gerhard Neumann
Abbas Abdolmaleki	Jan Peters 0001
Abbas Abdolmaleki	Luís Paulo Reis
Abbas Abdolmaleki	Nuno Lau
Abbas Abdolmaleki	Rudolf Lioutikov
Abbas Bazzi	Ilija Bogunovic
Abbas Bazzi	Marwa El Halabi
Abbas Bazzi	Volkan Cevher
Abbas Bazzi	Ya-Ping Hsieh
Abbas Bigdeli	Brian C. Lovell
Abbas Bigdeli	Mathieu Salzmann
Abbas Zaidi	Beka Steorts
Abdel-rahman Mohamed	Geoffrey E. Hinton
Abdel-rahman Mohamed	Gregor Urban
Abdel-rahman Mohamed	Jeff A. Bilmes
Abdel-rahman Mohamed	Krzysztof Geras
Abdel-rahman Mohamed	Matthai Philipose
Abdel-rahman Mohamed	Matthew Richardson
Abdel-rahman Mohamed	Rich Caruana
Abdel-rahman Mohamed	Özlem Aslan
Abdeslam Boularias	Brahim Chaib-draa
Abdeslam Boularias	Jan Peters 0001
Abdeslam Boularias	Oliver Kroemer
Abdul-Saboor Sheikh	Jörg Lücke
Abdul-Saboor Sheikh	Pietro Berkes
Abhay Harpale	Yiming Yang
Abhay Kumar Jha	Alexandra Meliou
Abhay Kumar Jha	Dan Suciu
Abhay Kumar Jha	Vibhav Gogate
Abhimanyu Das	Anirban Dasgupta 0001
Abhimanyu Das	David Kempe 0001
Abhimanyu Das	Ravi Kumar 0001
Abhinav Gupta	Alexei A. Efros
Abhinav Gupta	Martial Hebert
Abhinav Gupta	Takeo Kanade
Abhinav Parate	Benjamin M. Marlin
Abhinav Parate	Santosh Kumar 0001
Abhinav Shrivastava	Abhinav Gupta
Abhinav Shrivastava	Alexei A. Efros
Abhisek Kundu	Malik Magdon-Ismail
Abhisek Kundu	Petros Drineas
Abhishek Anand	Ashutosh Saxena
Abhishek Anand	Thorsten Joachims
Abhishek Kumar 0001	Alexandru Niculescu-Mizil
Abhishek Kumar 0001	Avishek Saha
Abhishek Kumar 0001	Koray Kavukcuoglu
Abhishek Kumar 0001	Piyush Rai
Abhishek Kumar 0001	Prabhanjan Kambadur
Abhishek Kumar 0001	Vikas Sindhwani
Abhishek Sharma	Ming-Yu Liu 0001
Abhishek Sharma	Oncel Tuzel
Abhradeep Guha Thakurta	Adam D. Smith
Abhradeep Thakurta	Li Zhang 0001
Abir De	Isabel Valera
Abir De	Manuel Gomez-Rodriguez
Abir De	Niloy Ganguly
Abir De	Sourangshu Bhattacharya
Abner Guzmán-Rivera	Dhruv Batra
Abner Guzmán-Rivera	Pushmeet Kohli
Abolfazl Razi	A. Robert Calderbank
Abolfazl Razi	Lawrence Carin
Abolfazl Razi	Miguel R. D. Rodrigues
Abram L. Friesen	Michael N. Shadlen
Abram L. Friesen	Pedro M. Domingos
Abram L. Friesen	Rajesh P. N. Rao
Abram L. Friesen	Thomas L. Griffiths
Abram L. Friesen	Timothy D. Hanks
Achintya Kundu	Aharon Ben-Tal
Achintya Kundu	Chiranjib Bhattacharyya
Achintya Kundu	Vikram Tankasali
Adam Coates	Ahbik Lahiri
Adam Coates	Andrej Karpathy
Adam Coates	Andrew Y. Ng
Adam Coates	Awni Y. Hannun
Adam Coates	Billy Jun
Adam Coates	Bo Xiao
Adam Coates	Bobby Prochnow
Adam Coates	Brody Huval
Adam Coates	Bryan Catanzaro
Adam Coates	Chong Wang
Adam Coates	Christopher Fougner
